,trigram,n
1052,likely see nhs,3
1455,primary schools extendthelockdown,3
1121,matthancock says uk,3
1396,place referrals spike,3
1141,meeting teachers islamic,3
2439,wont rushed back,3
1399,plan phased reopening,3
1400,plan reopen schools,3
1160,minister peter weir,3
2435,within two months,3
1404,planned schools reopen,3
1407,plans put place,3
1138,measures reduce spread,3
105,back school coronavirus,3
2425,white utu_edu ni,3
1419,ploughs ahead controversial,3
2418,weve put together,3
1430,possible moves reopen,3
1129,may transmit coronavirus,3
1582,reopen says weir,3
2409,weir hints phased,3
2410,well actually schools,3
1635,resources added today,3
1584,reopen schools despite,3
426,covid19 adding govt,3
785,going unnoticed lockdown,3
1769,schools colleges help,3
1770,schools colleges matthancock,3
774,get right help,3
1777,schools despite warnings,3
2127,taken primary tertiary,3
1788,schools extendthelockdown returningtowork,3
752,fully reopening primary,3
400,coronavirus within two,3
405,could include cavalcades,3
2108,sure apply got,3
1820,schools plan phased,3
1826,schools remain open,3
2106,supportive manner education,3
2101,support resources added,3
416,councilscan ensure children,3
1830,schools reopen due,3
419,country part measures,3
714,follow live askthehealthsecretary,3
1763,schools cannot exception,3
788,got concern say,3
798,govt considering reopen,3
1717,say something keepkidssafec19,3
861,hints phased return,3
1699,rushed back school,3
2173,tertiary institutions closed,3
847,help spread covid19,3
1704,safe supportive manner,3
842,help quickly cllrjudithblake,3
839,hell lockdown well,3
1715,say return unsafe,3
2159,teachers wont rushed,3
811,group cam_assessment advises,3
1731,says uk really,3
1732,says weir hints,3
1741,school closure support,3
360,coronavirus must one,3
2149,teachers parents explain,3
2146,teachers islamic almajiri,3
1746,school coronavirus covid19,3
812,guarantee ni schools,3
1836,schools reopen september,3
705,five prioritised schools,3
335,coronavirus covid19 schoolsreopening,3
2094,support edsupportuk advises,3
493,decision taken primary,3
621,england braced surge,3
1925,see nhs overwhelmed,3
2020,spread covid19 adding,3
2017,spread coronavirus almajiri,3
614,emmanuel macron ploughs,3
613,eliminated new coronavirus,3
606,educendowfoundn school closure,3
605,educationgovuk years five,3
2013,spike councilscan ensure,3
518,didnt want shut,3
521,difficult teachers parents,3
2000,something keepkidssafec19 covid19,3
1945,september says education,3
585,education minister peter,3
578,education covid19 teachers,3
576,edsupportuk advises schoolclosureuk,3
1994,sociallydistanced actions could,3
1992,social workers england,3
2033,state let know,3
630,ensure children families,3
474,day action today,3
2077,subject safe supportive,3
432,covid19 schoolsreopening neu,3
433,covid19 teachers parents,3
1854,schools scotland would,3
1858,schools start return,3
1860,schools state let,3
679,families get right,3
673,extendthelockdown returningtowork coronavirus,3
671,explain current pandemic,3
2068,studies add evidence,3
1288,one hell lockdown,3
659,exclusive exam group,3
658,excellent outcome predominantly,3
457,current pandemic young,3
653,exam group cam_assessment,3
648,evidence children may,3
646,ever leader uk,3
645,ever excellent outcome,3
471,date planned schools,3
2189,theres day action,3
1896,scotland would most,3
2223,to shut schools,3
270,closed country part,3
235,children families get,3
297,colleges matthancock says,3
241,children may transmit,3
896,iceland almost eliminated,3
314,considering reopen follow,3
885,hospitals protests possible,3
2230,together tips address,3
2219,tips address subject,3
2228,today say return,3
269,cllrjudithblake tells independent,3
1669,right help quickly,3
308,concern say something,3
943,islamic almajiri schools,3
1661,return unsafe workplaces,3
2266,two months nicola,3
957,johnsons boristhebutcher worst,3
249,children weve put,3
1608,reopening primary schools,3
1600,reopening closures later,3
1653,return jacquie white,3
296,colleges help spread,3
1664,returningtowork coronavirus covid19,3
1591,reopen september says,3
323,controversial plan reopen,3
289,closures later say,3
928,institutions closed country,3
330,coronavirus almajiri schools,3
286,closure support resources,3
910,include cavalcades hospitals,3
1861,schools stay closed,2
2470,worrying illustration long,2
1374,peak coronavirus pandemic,2
2050,strange uncertain time,2
2035,stay closed tes,2
1642,restart economy schools,2
1901,screens students desks,2
2254,transmit coronavirus experts,2
1609,reopening schools aren,2
1345,parent uk childs,2
1376,people coping coronavirus,2
2307,unions really minister,2
1904,seced readers schoolclosureuk,2
1905,seced_education looks ranking,2
1607,reopening northern irelands,2
2256,trauma informed approach,2
1625,reports covid19uk covid19,2
1865,schools support homeschooling,2
1562,remote online learning,2
1626,reports suggest may,2
2461,working resources info,2
1365,past peak coronavirus,2
2238,tools coronavirus passed,2
2064,students subject tom_middlehurst,2
2071,studies mainly might,2
1880,schools working resources,2
